price,sector,property_type,bedrooms,area_m2
163800,Santiago de los Cab...,apartment,3,117
177000,Santiago de los Cab...,apartment,2,120
100150,Santiago de los Cab...,apartment,2,87
93000,Santiago de los Cab...,apartment,3,81
92174,Santiago de los Cab...,apartment,3,85
85000,Santiago de los Cab...,apartment,2,80
140000,Distrito Nacional,apartment,2,110
320000,Serrallés,apartment,3,210
155000,Otras ciudades,apartment,3,116
284275,Otras ciudades,apartment,3,137
300000,Otras ciudades,apartment,3,171
253200,Otras ciudades,apartment,3,158
242000,Otras ciudades,apartment,3,132
56500,Santo Domingo Norte,apartment,2,55
170000,Boca Chica,apartment,2,7125
142000,Los Restauradores,apartment,2,92
101811,Isabelita,apartment,3,85
168112,Lucerna,apartment,3,169
126000,Renacimiento,apartment,1,73
280000,Reparto Del Este,apartment,3,140
310000,Juan Dolio,apartment,2,172
325000,Bella Vista,apartment,3,172
105000,Santo Domingo Este,apartment,3,95
98200,San Isidro Adentro,apartment,3,95
71419,Ciudad Juan Bosh,apartment,3,82
78900,Bávaro/Punta Cana,apartment,1,50
122500,Bávaro/Punta Cana,apartment,1,50
78400,San Isidro Adentro,apartment,1,56
172000,Alma Rosa I,apartment,2,87
96500,Jacobo Majluta,apartment,1,53
297000,Santiago de los Cab...,apartment,3,141
68200,Bávaro/Punta Cana,apartment,3,170
68843,Bávaro/Punta Cana,apartment,3,170
71717,Bávaro/Punta Cana,apartment,3,122
78125,Santiago de los Cab...,apartment,2,87
199305,Juan Dolio,apartment,2,93
139000,Paraíso,apartment,1,65
290000,Arroyo Hondo Viejo,apartment,3,220
86000,Santo Domingo Este,apartment,2,64
950000,Bella Vista,house,6,724
267540,Mirador Norte,apartment,3,151
249557,Mirador Norte,apartment,2,140
274000,Mirador Norte,house,2,156
97000,Jacobo Majluta,apartment,3,102
581000,Otras ciudades,apartment,3,225
94100,Otras ciudades,apartment,2,59
114000,Otras ciudades,apartment,2,72
72550,Otras ciudades,apartment,1,46
67000,Otras ciudades,apartment,1,42
61000,Otras ciudades,apartment,1,38
55000,Otras ciudades,apartment,1,34
79500,La Romana,apartment,2,60
150000,Juan Dolio,apartment,2,87
155000,La Barranquita,apartment,3,117
158000,Evaristo Morales,apartment,2,115
199000,Otras ciudades,apartment,2,120
323231,Otras ciudades,apartment,3,167
163500,Otras ciudades,apartment,3,117
195000,Bávaro/Punta Cana,apartment,1,51
303853,Bávaro/Punta Cana,apartment,1,107
125965,Otras ciudades,apartment,3,85
162000,Otras ciudades,apartment,3,90
68200,Bávaro/Punta Cana,apartment,1,51
190924,Distrito Nacional,apartment,2,80
158000,Bávaro/Punta Cana,apartment,3,136
75400,Santo Domingo Norte,apartment,3,46
87000,Santo Domingo Este,apartment,3,85
139000,Santo Domingo Norte,apartment,3,153
77000,Bávaro/Punta Cana,apartment,1,34
197000,Manganagua,apartment,2,134
200000,Los Restauradores,house,2,191
335000,Renacimiento,apartment,3,182
339800,Jardines Del Sur,apartment,3,201
340000,Ensanche Naco,apartment,3,243
269000,Las Terrenas,apartment,1,70
120000,Bávaro/Punta Cana,apartment,2,105
260000,Urbanización Thomén,apartment,3,190
15000,Juan Pablo Duarte,apartment,2,49
295000,Rincón Largo,apartment,2,115
280000,Santiago de los Cab...,apartment,2,114
130000,Ciudad Universitaria,apartment,1,68
89000,Viejo Arroyo Hondo,apartment,1,40
450000,Ensanche Naco,apartment,3,175
255000,Santiago de los Cab...,apartment,2,90
176200,Santiago de los Cab...,apartment,3,120
165900,El Vergel,apartment,1,82
166623,Bávaro/Punta Cana,apartment,2,80
92174,Santiago de los Cab...,apartment,3,85
295000,Distrito Nacional,apartment,3,341
250000,La Esmeralda,apartment,2,118
84224,Otras ciudades,apartment,3,89
90000,Santiago de los Cab...,apartment,3,83
98000,Otras ciudades,apartment,3,98
127000,Otras ciudades,apartment,3,106
225000,Otras ciudades,apartment,3,108
204000,Santiago de los Cab...,apartment,4,242
61582,La Vega,apartment,1,51
125550,Santiago de los Cab...,apartment,1,62
90000,Santiago de los Cab...,apartment,3,83
84500,Jarabacoa,apartment,1,50
225000,Ciudad Modelo,apartment,3,253
175000,Santiago de los Cab...,apartment,3,120
325000,La Esperilla,apartment,3,172
156000,Bella Vista,apartment,1,66
130000,Tropical del Este,apartment,3,250
185000,Evaristo Morales,apartment,1,75
198000,El Millón,apartment,2,86
220000,Renacimiento,apartment,3,133
163800,Los Prados,apartment,3,120
177600,Vista Hermosa,apartment,3,255
230000,El Vergel,apartment,3,185
149000,Distrito Nacional,apartment,2,130
160000,Distrito Nacional,apartment,2,124
132000,Distrito Nacional,apartment,3,113
320000,Distrito Nacional,apartment,3,187
155000,Santo Domingo Este,apartment,3,137
155000,Distrito Nacional,apartment,3,170
315000,Distrito Nacional,apartment,3,210
303055,Distrito Nacional,apartment,2,121
275000,Distrito Nacional,apartment,3,200
215000,Santo Domingo Este,apartment,3,183
215000,Bávaro/Punta Cana,apartment,2,112
265000,Distrito Nacional,apartment,3,147
115000,Distrito Nacional,apartment,1,67
198000,Distrito Nacional,apartment,3,153
237000,Distrito Nacional,apartment,3,138
95000,Bávaro/Punta Cana,apartment,2,71
125000,Bávaro/Punta Cana,apartment,1,52
189950,Distrito Nacional,apartment,3,125
270000,El Millón,apartment,3,175
245000,El Millón,apartment,2,150
164130,La Julia,apartment,1,61
111000,Los Prados,apartment,2,74
122990,Los Tres Ojos,apartment,2,156
164700,El Millón,apartment,3,81
180000,Santiago de los Cab...,apartment,3,118
158000,Gurabo,apartment,3,110
235000,Santo Domingo Este,apartment,3,106
140000,Distrito Nacional,apartment,2,132
92174,La Barranquita,apartment,3,90
125000,Santiago de los Cab...,apartment,1,57
61647,Bávaro/Punta Cana,apartment,3,82
200000,Santiago de los Cab...,apartment,2,81
76075,La Vega,apartment,2,63
113980,Santo Domingo Este,apartment,1,54
124000,Bávaro/Punta Cana,apartment,1,52
199500,Bávaro/Punta Cana,apartment,2,75
108000,Bávaro/Punta Cana,apartment,2,74
120186,Santo Domingo Este,apartment,1,67
135000,Boca Chica,apartment,1,46
119900,Bávaro/Punta Cana,apartment,1,58
192000,Santo Domingo Norte,apartment,2,153
83500,Santo Domingo Norte,apartment,3,89
138000,Bávaro/Punta Cana,apartment,2,68
260000,Distrito Nacional,apartment,2,127
147000,Distrito Nacional,apartment,2,76
145000,Santiago de los Cab...,apartment,3,100
145000,Llanos de Gurabo I,apartment,3,110
136000,La Trinitaria,apartment,3,103
136000,Santiago de los Cab...,apartment,3,103
294500,Santiago de los Cab...,apartment,3,190
175000,Santiago de los Cab...,apartment,3,114
100000,Santiago de los Cab...,apartment,3,100
112150,Santiago de los Cab...,apartment,3,85
330000,Bella Vista,apartment,3,218
163000,Zona Universitaria,apartment,2,71
150000,La Barranquita,apartment,3,106
163000,Otras ciudades,apartment,3,100
280000,Santiago de los Cab...,apartment,2,122
73000,Otras ciudades,apartment,3,69
168000,Santiago de los Cab...,apartment,3,118
110000,Santiago de los Cab...,apartment,3,131
100000,Santiago de los Cab...,apartment,3,95
145000,Santiago de los Cab...,apartment,3,109
240000,Santiago de los Cab...,apartment,2,142
89000,Santiago de los Cab...,apartment,3,83
280000,Santiago de los Cab...,apartment,2,98
125000,Otras ciudades,apartment,3,108
115000,Bávaro/Punta Cana,apartment,2,64
105000,Otras ciudades,apartment,2,74
275000,Santo Domingo Oeste,apartment,10,480
205000,Distrito Nacional,apartment,2,127
285000,Los Cacicazgos,apartment,2,143
235000,Los Alamos,apartment,3,140
188200,El Millón,apartment,3,93
330000,Cerros de Gurabo,apartment,3,160
175000,Distrito Nacional,apartment,1,70
255000,Juan Dolio,apartment,2,119
245000,Urbanización Real,apartment,2,95
188000,Distrito Nacional,apartment,2,125
126000,Renacimiento,apartment,1,73
66415,Santo Domingo Este,apartment,3,82
295000,Otras ciudades,apartment,2,138
456000,Otras ciudades,apartment,4,195
